Here's your **ultra-detailed feature breakdown** with access control for each role:

---

## 🔐 1. LOGIN

| # | Action | Who | What happens |
| 16.14 | Load more results | User | Pagination/infinite scroll |

---

## 👥 17. FOLLOW/UNFOLLOW USER

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 17.1 | Visit user profile | Any logged in user | See profile of another user |
| 17.2 | Click follow button | User | Send follow request |
| 17.3 | Check privacy | System | If profile public → follow instantly |
| 17.4 | If profile private | System | Send follow request (pending) |
| 17.5 | Create follow record | System | Insert into follows table |
| 17.6 | Increment follower count | System | user.followers_count +1 |
| 17.7 | Increment following count | System | user.following_count +1 |
| 17.8 | Create notification | System | Notify target "User started following you" |
| 17.9 | Button changes to "Following" | User | Visual feedback |
| 17.10 | Click unfollow | User | Remove follow relationship |
| 17.11 | Decrement counts | System | Both counts -1 |
| 17.12 | Remove from feed | System | Posts from unfollowed user disappear |

---

## ✅ 18. FOLLOW REQUEST (Private Profile)

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 18.1 | Request to follow | Any user | Click follow on private profile |
| 18.2 | Status = pending | System | Request saved, not yet approved |
| 18.3 | Notification to target | System | "User wants to follow you" |
| 18.4 | Target views request | Profile owner | See list of pending requests |
| 18.5 | Approve request | Profile owner | Click ✓ on request |
| 18.6 | Follow becomes active | System | Now follower can see posts |
| 18.7 | Deny request | Profile owner | Click ✗ on request |
| 18.8 | Request removed | System | Follower can't see private posts |
| 18.9 | Cancel request | Requester | Withdraw pending follow request |

---

## 💬 19. SEND MESSAGE

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 19.1 | Go to Messages | Logged in user | Navigate to /messages |
| 19.2 | Select conversation | User | Click on existing chat |
| 19.3 | Or start new chat | User | Click "+" and search user |
| 19.4 | Type message | User | Write in input box |
| 19.5 | Add emoji | User | Click emoji picker |
| 19.6 | Attach image | User | Upload photo (max 10MB) |
| 19.7 | Attach file | User | Upload PDF/DOC (max 25MB) |
| 19.8 | Click send | User | Submit message |
| 19.9 | Save to database | System | Insert into messages table |
| 19.10 | Update conversation | System | Update last_message, updated_at |
| 19.11 | Send realtime | System | Push via WebSocket to recipient |
| 19.12 | Show in UI | Sender | Message appears instantly |
| 19.13 | Show delivered status | Sender | ✓ (delivered to server) |
| 19.14 | Show read status | Sender | ✓✓ (recipient opened) |
| 19.15 | Create notification | System | If recipient offline, push notification |
| 19.16 | Increment unread count | System | recipient.unread_messages +1 |

---

## 📖 20. VIEW MESSAGES

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 20.1 | Open conversation | User | Click on chat from list |
| 20.2 | Load messages | System | Fetch last 50 messages |
| 20.3 | Scroll up to load more | User | Fetch older messages (pagination) |
| 20.4 | Display messages | System | Sender messages on right, recipient on left |
| 20.5 | Show timestamps | System | Time below each message |
| 20.6 | Show read receipts | System | "Seen" at bottom of conversation |
| 20.7 | Mark as read | System | When user opens chat, unread → read |
| 20.8 | Clear unread badge | System | Remove notification badge |
| 20.9 | Typing indicator | System | Shows "User is typing..." |
| 20.10 | Online status | System | Green dot if user active |
| 20.11 | Delete message | User (sender only) | Remove for everyone |
| 20.12 | Delete for me | User | Remove only from own view |
| 20.13 | Reply to message | User | Quote specific message |

---

## 👥 21. GROUP CHAT

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 21.1 | Create group | Any user | Click "New Group" |
| 21.2 | Enter group name | User | Type name (max 50 chars) |
| 21.3 | Add members | User | Select from friends list |
| 21.4 | Set group icon | User | Upload image |
| 21.5 | Click create | User | Submit group |
| 21.6 | Save group | System | Insert into groups table |
| 21.7 | Add creator as admin | System | Set role = admin |
| 21.8 | Add members | System | Insert into group_members table |
| 21.9 | Notify members | System | "You were added to group" |
| 21.10 | Send messages | Members | Same as 1-on-1 chat |
| 21.11 | See all messages | Members | Everyone sees all messages |
| 21.12 | Leave group | Any member | Remove self from group |
| 21.13 | Add member (admin only) | Admin | Can add new users |
| 21.14 | Remove member (admin only) | Admin | Kick user from group |
| 21.15 | Change group name (admin) | Admin | Update group settings |
| 21.16 | Promote to admin (admin) | Admin | Make member an admin |
| 21.17 | Demote admin (admin) | Admin | Remove admin privileges |
| 21.18 | Delete group (admin) | Admin | Permanently remove group |

---

## 📸 22. CREATE STORY

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 22.1 | Click add story | Logged in user | Open camera/gallery |
| 22.2 | Take photo/video | User | Use camera or select from gallery |
| 22.3 | Add text overlay | User | Type text on story |
| 22.4 | Add stickers | User | Add emoji/GIF stickers |
| 22.5 | Add music | User | Select background audio |
| 22.6 | Set visibility | User | Public / Friends / Hide from specific users |
| 22.7 | Click post story | User | Submit story |
| 22.8 | Upload media | System | Save to cloud storage |
| 22.9 | Set expiry | System | Set expires_at = now + 24 hours |
| 22.10 | Add to story feed | System | Display for allowed viewers |
| 22.11 | Create notification | System | Notify followers "User posted a story" |
| 22.12 | Show story ring | System | Colorful ring around avatar |

---

## 👁️ 23. VIEW STORIES

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 23.1 | Go to dashboard | Any user | See story rings at top |
| 23.2 | Click on avatar | User | Open story viewer |
| 23.3 | Show story | System | Display media fullscreen |
| 23.4 | Tap right side | User | Go to next story |
| 23.5 | Tap left side | User | Go to previous story |
| 23.6 | Swipe down | User | Close story viewer |
| 23.7 | Auto-advance | System | Next story after 10 seconds |
| 23.8 | Show progress bar | System | Top bar fills as time passes |
| 23.9 | View story (owner) | Owner | See who viewed each story |
| 23.10 | Reply to story | Viewer | Send message to story poster |
| 23.11 | React to story | Viewer | Send emoji reaction |
| 23.12 | Expired stories | System | Hide after 24 hours |
| 23.13 | Archive stories | System | Save to "Memories" (optional) |

---

## 🛒 24. CREATE MARKETPLACE LISTING

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 24.1 | Click "Sell" | Any logged in user | Open listing form |
| 24.2 | Enter title | User | Name of item (max 100 chars) |
| 24.3 | Enter description | User | Details about item |
| 24.4 | Set price | User | Amount in local currency |
| 24.5 | Choose category | User | Books / Electronics / Furniture / etc |
| 24.6 | Upload photos | User | Up to 10 images |
| 24.7 | Set condition | User | New / Like new / Good / Fair / Poor |
| 24.8 | Add location | User | Campus pickup location |
| 24.9 | Allow offers | User | Checkbox for "Accept offers" |
| 24.10 | Click post listing | User | Submit to server |
| 24.11 | Validate | System | Check required fields, spam |
| 24.12 | Save listing | System | Insert into marketplace table |
| 24.13 | Create notification | System | Notify followers "User listed an item" |
| 24.14 | Show in marketplace | User | Appears in browse feed |

---

## 🛍️ 25. BROWSE MARKETPLACE

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 25.1 | Go to Marketplace | Any user | Navigate to /marketplace |
| 25.2 | View listings | User | Grid view of items |
| 25.3 | Filter by category | User | Dropdown: All / Books / Electronics / etc |
| 25.4 | Filter by price range | User | Min $ - Max $ slider |
| 25.5 | Filter by condition | User | Checkboxes for conditions |
| 25.6 | Sort by newest | User | Recent listings first |
| 25.7 | Sort by price low-high | User | Cheapest first |
| 25.8 | Sort by price high-low | User | Expensive first |
| 25.9 | Search listings | User | Keyword search |
| 25.10 | Click on listing | User | Go to /listing/:id |
| 25.11 | View seller profile | User | Click seller name |
| 25.12 | Save listing | User | Bookmark for later |

---

## 💬 26. MARKETPLACE - CONTACT SELLER

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 26.1 | Click "Contact Seller" | Buyer | On listing page |
| 26.2 | Open chat | System | Create new DM with seller |
| 26.3 | Auto-fill message | System | "Hi, I'm interested in [item name]" |
| 26.4 | Send message | Buyer | Type and send |
| 26.5 | Create notification | System | Notify seller of new message |
| 26.6 | Negotiate price | Both | Discuss in chat |
| 26.7 | Mark as sold | Seller | Click "Mark as Sold" on listing |
| 26.8 | Listing hidden | System | Removed from marketplace feed |
| 26.9 | Leave review | Buyer | Rate seller (1-5 stars) after purchase |

---

## 👥 27. CREATE GROUP (Community)

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 27.1 | Click "Create Group" | Any logged in user | Open form |
| 27.2 | Enter group name | User | Unique name (max 50 chars) |
| 27.3 | Enter description | User | What group is about |
| 27.4 | Choose group type | User | Public / Private / Secret |
| 27.5 | Set campus | User | Which campus (or all) |
| 27.6 | Upload cover image | User | Group banner photo |
| 27.7 | Add rules | User | Text for group rules |
| 27.8 | Click create | User | Submit group |
| 27.9 | Save group | System | Insert into groups table |
| 27.10 | Set creator as admin | System | role = admin |
| 27.11 | Auto-join creator | System | Creator is member |
| 27.12 | Show in discover | System | Appear in group search |

---

## 👥 28. GROUP MEMBERSHIP

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 28.1 | View group | Any user | See group page |
| 28.2 | Join group (public) | Any user | Click "Join" → instant member |
| 28.3 | Join group (private) | Any user | Click "Join" → request sent |
| 28.4 | Approve request (admin) | Admin | See pending requests → approve |
| 28.5 | Deny request (admin) | Admin | Reject request |
| 28.6 | Leave group | Member | Click "Leave" → remove self |
| 28.7 | Post in group | Member | Create post visible only to members |
| 28.8 | Comment in group | Member | Interact with group posts |
| 28.9 | Invite friends | Member | Share group link |
| 28.10 | Report group | Any user | Flag inappropriate group |

---

## 👑 29. GROUP ADMIN ACTIONS

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 29.1 | Delete any post | Admin | Remove post from group |
| 29.2 | Remove member | Admin | Kick user from group |
| 29.3 | Ban member | Admin | Prevent re-joining |
| 29.4 | Make admin | Admin | Promote member to admin |
| 29.5 | Demote admin | Admin | Remove admin privileges |
| 29.6 | Edit group name | Admin | Update group info |
| 29.7 | Edit description | Admin | Change group description |
| 29.8 | Change group type | Admin | Public ↔ Private ↔ Secret |
| 29.9 | Change cover image | Admin | Upload new banner |
| 29.10 | Pin post | Admin | Stick post to top |
| 29.11 | Delete group | Admin | Permanently remove group |
| 29.12 | View join requests | Admin | See pending member requests |

---

## 📊 30. ADMIN (Platform Level)

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 30.1 | View all users | Super Admin | List all registered users |
| 30.2 | Suspend user | Super Admin | Prevent login, hide content |
| 30.3 | Delete user | Super Admin | Permanently remove account |
| 30.4 | View reports | Super Admin | See flagged posts/comments |
| 30.5 | Delete reported post | Super Admin | Remove inappropriate content |
| 30.6 | Dismiss report | Super Admin | Mark as resolved, keep content |
| 30.7 | View platform stats | Super Admin | Users, posts, active users charts |
| 30.8 | Manage featured posts | Super Admin | Pin posts to explore page |
| 30.9 | Announcement banner | Super Admin | Create site-wide message |
| 30.10 | View logs | Super Admin | See user activity logs |

---

## 👁️ 31. PROFILE VISITOR (Viewing someone else's profile)

| # | What visitor sees | Condition |
|---|-------------------|-----------|
| 31.1 | Name | Always |
| 31.2 | Username | Always |
| 31.3 | Avatar | Always |
| 31.4 | Bio | Always (if not hidden) |
| 31.5 | Follower count | Always |
| 31.6 | Following count | Always |
| 31.7 | Post count | Always |
| 31.8 | Posts | If profile is PUBLIC |
| 31.9 | Posts | If profile PRIVATE + visitor is follower |
| 31.10 | Posts (blurred) | If profile PRIVATE + visitor NOT follower |
| 31.11 | "This account is private" message | If private + not follower |
| 31.12 | Follow button | Always (if not already following) |
| 31.13 | Message button | Always |
| 31.14 | Email | Only if user set email as public |
| 31.15 | Phone | Only if user set phone as public |
| 31.16 | Join date | Always |
| 31.17 | Campus | Always |
| 31.18 | Mutual followers | Always |

---

## 📢 32. NOTIFICATIONS

| # | Event | Who receives | Content |
|---|-------|--------------|---------|
| 32.1 | Someone liked your post | Post owner | "John liked your post" |
| 32.2 | Someone commented | Post owner | "Sarah commented: Nice!" |
| 32.3 | Someone replied to your comment | Comment owner | "Mike replied to your comment" |
| 32.4 | Someone mentioned you (@user) | Mentioned user | "Jane mentioned you in a post" |
| 32.5 | Someone followed you | Target user | "Alex started following you" |
| 32.6 | Follow request (private profile) | Profile owner | "Emily wants to follow you" |
| 32.7 | Follow request approved | Requester | "Accepted your follow request" |
| 32.8 | New message | Message recipient | "New message from Tom" |
| 32.9 | Added to group | New member | "Added to Study Group" |
| 32.10 | Someone shared your post | Post owner | "Lisa shared your post" |
| 32.11 | New story posted | Followers | "User posted a story" |
| 32.12 | Listing sold | Seller | "Your item has been marked as sold" |

---

## ❓ 33. FORGOT PASSWORD (Extended)

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 33.1 | Request reset | User | Enter email, click send |
| 33.2 | Generate OTP | System | 6-digit code instead of link |
| 33.3 | Send to email | System | "Your OTP is 123456" |
| 33.4 | Enter OTP | User | Type 6-digit code |
| 33.5 | Verify OTP | System | Check code and expiry |
| 33.6 | Enter new password | User | After OTP verified |
| 33.7 | Confirm new password | User | Must match |
| 33.8 | Update password | System | Save new hash |
| 33.9 | Send confirmation email | System | "Your password was changed" |
| 33.10 | Redirect to login | User | Can now login with new password |

---

## 📧 34. EMAIL NOTIFICATIONS

| # | Email type | When sent | Content |
|---|------------|-----------|---------|
| 34.1 | Welcome email | After signup | "Welcome to Sparkle!" |
| 34.2 | Verification email | After signup | "Verify your email: OTP 123456" |
| 34.3 | Password reset | On request | "Reset link / OTP" |
| 34.4 | New login alert | Unrecognized device | "New login from Chrome on Windows" |
| 34.5 | Weekly digest | Every Monday | "You had 45 likes and 12 new followers" |
| 34.6 | Unread messages | If offline > 1hr | "You have 3 unread messages" |
| 34.7 | Follow notification | When followed | "John started following you" |
| 34.8 | Mention notification | When @mentioned | "Sarah mentioned you in a post" |

---

## 🛡️ 35. REPORT & BLOCK

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 35.1 | Report post | Any user | Click flag icon → select reason |
| 35.2 | Report user | Any user | Go to profile → Report |
| 35.3 | Reasons | System | Spam / Harassment / Hate speech / Nudity / Other |
| 35.4 | Save report | System | Insert into reports table |
| 35.5 | Notify admin | System | Admin sees new report |
| 35.6 | Block user | Any user | Click block on profile |
| 35.7 | Block effect | System | Can't see each other's content |
| 35.8 | Block effect | System | Can't send messages |
| 35.9 | Unblock user | User | Settings → Blocked list → Unblock |
| 35.10 | View blocked list | User | See all blocked users |

---

## 📌 36. PIN & SAVE

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 36.1 | Save post | Any user | Click bookmark icon |
| 36.2 | View saved posts | User | Go to /saved |
| 36.3 | Remove from saved | User | Click bookmark again |
| 36.4 | Pin post to profile | Profile owner | Click pin on own post |
| 36.5 | Pinned post stays on top | System | Always first in profile |
| 36.6 | Unpin post | Profile owner | Remove from top |
| 36.7 | Max 3 pinned posts | System | Limit |

---

## 🎯 37. HASHTAG SYSTEM

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 37.1 | Add #hashtag | User | Type # in post |
| 37.2 | Suggest hashtags | System | Auto-suggest trending tags |
| 37.3 | Click hashtag | Any user | Go to /hashtag/:tag |
| 37.4 | View all posts with tag | Any user | Feed filtered by hashtag |
| 37.5 | Trending hashtags | System | Show top 10 tags today |
| 37.6 | Follow hashtag | User | Get notified for new posts with tag |

---

## 📅 38. EVENTS

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 38.1 | Create event | Any user | Title, date, location, description |
| 38.2 | Set event type | User | Party / Study / Sports / Other |
| 38.3 | Set max attendees | User | Limit number of people |
| 38.4 | Post event | User | Appears in events feed |
| 38.5 | RSVP | Any user | Going / Maybe / Not going |
| 38.6 | View attendees | User | See who is going |
| 38.7 | Edit event (creator only) | Creator | Change details |
| 38.8 | Cancel event (creator) | Creator | Notify all RSVP'd users |
| 38.9 | Add to calendar | User | Download .ics file |

---

## ⭐ 39. REVIEWS & RATINGS

| # | Action | Who | What happens |
|---|--------|-----|---------------|
| 39.1 | Rate seller | Buyer | After marketplace purchase |
| 39.2 | Choose stars | User | 1 to 5 stars |
| 39.3 | Write review text | User | Optional comment |
| 39.4 | Submit review | User | Save to database |
| 39.5 | View seller rating | Any user | Average stars on profile |
| 39.6 | Edit review | User | Within 7 days |
| 39.7 | Delete review | User or Admin | Remove rating |
| 39.8 | Reply to review | Seller | Respond to buyer's review |

---

## 🌐 40. PRIVACY LEVELS (Complete)

